"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"93d79254",2020-04-14,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,0,0,0,-57.29,-84.26,-56.55,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,0,0,0,-57.29,-84.26,-56.55,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-16,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,0,0,0,-57.29,-84.26,-56.55,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,0,0,0,-57.29,-84.26,-56.55,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-18,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,0,0,0,-57.29,-84.26,-56.55,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-19,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-20,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-21,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-22,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-23,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-24,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-25,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-26,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-27,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-28,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-29,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-04-30,8,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-05-01,8,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-05-02,8,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-05-03,17,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-05-04,21,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-05-05,26,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,1,0,2,0,0,-60.42,-84.26,-60.12,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-05-06,26,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,2,0,2,0,0,-62.5,-84.26,-62.5,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
"93d79254",2020-05-07,27,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,2,0,2,0,1,-64.58,-84.26,-64.88,-62.5,3,"Brazil","Amapá","Porto Grande",0.614044995,-51.724164633392,22452,"BRA","BR",76,"BRL","1600535",NA,NA,"BRAP1600535",NA,"BRA.3.11_1"
