"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"5014268a",2020-05-25,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,0,4,0,1,-63.02,-75.93,-63.1,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-05-26,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,0,4,0,1,-63.02,-75.93,-63.1,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-05-27,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,0,4,0,1,-63.02,-75.93,-63.1,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-05-28,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,0,4,0,1,-63.02,-75.93,-63.1,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-05-29,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,0,4,0,1,-63.02,-75.93,-63.1,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-05-30,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,0,4,0,1,-63.02,-75.93,-63.1,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-05-31,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,0,4,0,1,-63.02,-75.93,-63.1,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-06-01,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,0,4,0,1,-63.02,-75.93,-63.1,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-06-02,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-66.15,-81.48,-66.67,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-06-03,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-66.15,-81.48,-66.67,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-06-04,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-66.15,-81.48,-66.67,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-06-05,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-66.15,-81.48,-66.67,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-06-06,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-66.15,-81.48,-66.67,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-06-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-66.15,-81.48,-66.67,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-06-08,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-66.15,-81.48,-66.67,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-06-09,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-66.15,-81.48,-66.67,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-06-10,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-66.15,-81.48,-66.67,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
"5014268a",2020-06-11,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-66.15,-81.48,-66.67,-62.5,3,"Brazil","Goiás","Cachoeira Dourada",-18.48248577,-49.597986296015,8031,"BRA","BR",76,"BRL","5204250",NA,NA,"BRGO5204250",NA,"BRA.9.46_1"
