"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"f8661d03",2020-04-25,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,-2,4,2,0,0,4,0,3,-61.46,-73.15,-61.31,-62.5,3,"Brazil","Maranhão","Governador Edison Lobão",-5.72416949,-47.3112979463858,18520,"BRA","BR",76,"BRL","2104552","ChIJoxgm3wsC0JIR9Qk-1ZBSJKs",NA,"BRMA2104552",NA,"BRA.10.78_1"
"f8661d03",2020-04-26,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,-2,4,2,0,0,4,0,3,-61.46,-73.15,-61.31,-62.5,3,"Brazil","Maranhão","Governador Edison Lobão",-5.72416949,-47.3112979463858,18520,"BRA","BR",76,"BRL","2104552","ChIJoxgm3wsC0JIR9Qk-1ZBSJKs",NA,"BRMA2104552",NA,"BRA.10.78_1"
"f8661d03",2020-04-27,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,1,4,2,0,0,4,0,3,-59.9,-70.37,-59.52,-62.5,3,"Brazil","Maranhão","Governador Edison Lobão",-5.72416949,-47.3112979463858,18520,"BRA","BR",76,"BRL","2104552","ChIJoxgm3wsC0JIR9Qk-1ZBSJKs",NA,"BRMA2104552",NA,"BRA.10.78_1"
"f8661d03",2020-04-28,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,1,4,2,0,0,4,0,3,-59.9,-70.37,-59.52,-62.5,3,"Brazil","Maranhão","Governador Edison Lobão",-5.72416949,-47.3112979463858,18520,"BRA","BR",76,"BRL","2104552","ChIJoxgm3wsC0JIR9Qk-1ZBSJKs",NA,"BRMA2104552",NA,"BRA.10.78_1"
"f8661d03",2020-04-29,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,1,4,2,0,0,4,0,3,-59.9,-70.37,-59.52,-62.5,3,"Brazil","Maranhão","Governador Edison Lobão",-5.72416949,-47.3112979463858,18520,"BRA","BR",76,"BRL","2104552","ChIJoxgm3wsC0JIR9Qk-1ZBSJKs",NA,"BRMA2104552",NA,"BRA.10.78_1"
"f8661d03",2020-04-30,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,1,4,2,0,0,4,0,3,-59.9,-70.37,-59.52,-62.5,3,"Brazil","Maranhão","Governador Edison Lobão",-5.72416949,-47.3112979463858,18520,"BRA","BR",76,"BRL","2104552","ChIJoxgm3wsC0JIR9Qk-1ZBSJKs",NA,"BRMA2104552",NA,"BRA.10.78_1"
"f8661d03",2020-05-01,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,1,4,2,0,0,4,0,3,-59.9,-70.37,-59.52,-62.5,3,"Brazil","Maranhão","Governador Edison Lobão",-5.72416949,-47.3112979463858,18520,"BRA","BR",76,"BRL","2104552","ChIJoxgm3wsC0JIR9Qk-1ZBSJKs",NA,"BRMA2104552",NA,"BRA.10.78_1"
"f8661d03",2020-05-02,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,1,4,2,0,0,4,0,3,-59.9,-70.37,-59.52,-62.5,3,"Brazil","Maranhão","Governador Edison Lobão",-5.72416949,-47.3112979463858,18520,"BRA","BR",76,"BRL","2104552","ChIJoxgm3wsC0JIR9Qk-1ZBSJKs",NA,"BRMA2104552",NA,"BRA.10.78_1"
"f8661d03",2020-05-03,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,1,4,2,0,0,4,0,3,-59.9,-70.37,-59.52,-62.5,3,"Brazil","Maranhão","Governador Edison Lobão",-5.72416949,-47.3112979463858,18520,"BRA","BR",76,"BRL","2104552","ChIJoxgm3wsC0JIR9Qk-1ZBSJKs",NA,"BRMA2104552",NA,"BRA.10.78_1"
"f8661d03",2020-05-04,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,1,4,2,0,0,4,0,3,-59.9,-70.37,-59.52,-62.5,3,"Brazil","Maranhão","Governador Edison Lobão",-5.72416949,-47.3112979463858,18520,"BRA","BR",76,"BRL","2104552","ChIJoxgm3wsC0JIR9Qk-1ZBSJKs",NA,"BRMA2104552",NA,"BRA.10.78_1"
