"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"d5600623",2020-06-17,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-64.06,-80.09,-64.29,-62.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-06-18,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-64.06,-80.09,-64.29,-62.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-06-19,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-64.06,-80.09,-64.29,-62.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-06-20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-64.06,-80.09,-64.29,-62.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-06-21,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-64.06,-80.09,-64.29,-62.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-06-22,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-64.06,-80.09,-64.29,-62.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-06-23,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-64.06,-80.09,-64.29,-62.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-06-24,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-64.06,-80.09,-64.29,-62.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-06-25,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-64.06,-80.09,-64.29,-62.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-06-26,8,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-64.06,-80.09,-64.29,-62.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-06-27,10,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-64.06,-80.09,-64.29,-62.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-06-28,10,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-64.06,-80.09,-64.29,-62.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-06-29,10,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-64.06,-80.09,-64.29,-62.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-06-30,14,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-64.06,-80.09,-64.29,-62.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-01,15,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-02,15,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-03,16,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,4,0,-2,-63.28,-80.09,-66.96,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-04,17,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,4,0,-2,-63.28,-80.09,-66.96,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-05,17,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,4,0,-2,-63.28,-80.09,-66.96,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-06,17,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-07,17,2,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-08,18,2,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-09,18,2,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-10,18,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-11,18,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-12,18,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-13,18,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-14,19,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-15,19,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-16,19,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-17,19,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-18,19,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-19,19,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-20,19,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-21,19,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-22,19,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-23,19,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,-2,-60.94,-80.09,-64.29,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-24,20,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,3,1,1,2,4,2,2,0,-3,0,-2,-60.16,-78.7,-63.39,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-25,20,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,3,1,1,2,4,2,2,0,-3,0,-2,-60.16,-78.7,-63.39,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-26,20,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,3,1,1,2,4,2,2,0,-3,0,-2,-60.16,-78.7,-63.39,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-27,20,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,3,1,1,2,4,2,2,0,-3,0,-2,-60.16,-78.7,-63.39,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-28,20,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,3,1,1,2,4,2,2,0,-3,0,-2,-60.16,-78.7,-63.39,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-29,20,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,3,1,1,2,1,2,2,0,-3,0,-2,-55.47,-70.37,-58.04,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-30,21,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,3,1,1,2,1,2,2,0,-3,0,-2,-55.47,-70.37,-58.04,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-07-31,21,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,3,1,1,2,1,2,2,0,-3,0,-2,-55.47,-70.37,-58.04,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-08-01,21,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,3,1,1,2,1,2,2,0,-3,0,-2,-55.47,-70.37,-58.04,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-08-02,21,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,3,1,1,2,1,2,2,0,-3,0,-2,-55.47,-70.37,-58.04,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-08-03,21,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,3,1,1,2,1,2,2,0,4,0,-2,-57.81,-70.37,-60.71,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
"d5600623",2020-08-04,21,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,3,1,1,2,1,2,2,0,4,0,-2,-57.81,-70.37,-60.71,-37.5,3,"Brazil","Minas Gerais","Jesuânia",-22.00490379,-45.2652825213397,4780,"BRA","BR",76,"BRL","3135902",NA,NA,"BRMG3135902",NA,"BRA.13.411_1"
