"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"eeaccdd4",2020-07-14,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,2,-64.84,-75.46,-68.75,-37.5,3,"Brazil","Paraíba","Monte Horebe",-7.209655525,-38.5455017723235,4842,"BRA","BR",76,"BRL","2509602",NA,NA,"BRPB2509602",NA,"BRA.15.122_1"
"eeaccdd4",2020-07-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,-2,-4,1,1,1,4,2,2,1,4,0,2,-65.89,-71.76,-66.37,-62.5,3,"Brazil","Paraíba","Monte Horebe",-7.209655525,-38.5455017723235,4842,"BRA","BR",76,"BRL","2509602",NA,NA,"BRPB2509602",NA,"BRA.15.122_1"
"eeaccdd4",2020-07-16,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,-2,-4,1,1,1,4,2,2,1,4,0,2,-65.89,-71.76,-66.37,-62.5,3,"Brazil","Paraíba","Monte Horebe",-7.209655525,-38.5455017723235,4842,"BRA","BR",76,"BRL","2509602",NA,NA,"BRPB2509602",NA,"BRA.15.122_1"
"eeaccdd4",2020-07-17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,-2,-4,1,1,1,4,2,2,1,4,0,2,-65.89,-71.76,-66.37,-62.5,3,"Brazil","Paraíba","Monte Horebe",-7.209655525,-38.5455017723235,4842,"BRA","BR",76,"BRL","2509602",NA,NA,"BRPB2509602",NA,"BRA.15.122_1"
"eeaccdd4",2020-07-18,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,-2,-4,1,1,1,4,2,2,1,4,0,2,-65.89,-71.76,-66.37,-62.5,3,"Brazil","Paraíba","Monte Horebe",-7.209655525,-38.5455017723235,4842,"BRA","BR",76,"BRL","2509602",NA,NA,"BRPB2509602",NA,"BRA.15.122_1"
"eeaccdd4",2020-07-19,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,-2,-4,1,1,1,4,2,2,1,4,0,2,-65.89,-71.76,-66.37,-62.5,3,"Brazil","Paraíba","Monte Horebe",-7.209655525,-38.5455017723235,4842,"BRA","BR",76,"BRL","2509602",NA,NA,"BRPB2509602",NA,"BRA.15.122_1"
"eeaccdd4",2020-07-20,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,-2,-4,1,1,1,4,2,2,1,4,0,2,-65.89,-71.76,-66.37,-62.5,3,"Brazil","Paraíba","Monte Horebe",-7.209655525,-38.5455017723235,4842,"BRA","BR",76,"BRL","2509602",NA,NA,"BRPB2509602",NA,"BRA.15.122_1"
"eeaccdd4",2020-07-21,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,-2,-4,1,1,1,4,2,2,1,4,0,2,-65.89,-71.76,-66.37,-62.5,3,"Brazil","Paraíba","Monte Horebe",-7.209655525,-38.5455017723235,4842,"BRA","BR",76,"BRL","2509602",NA,NA,"BRPB2509602",NA,"BRA.15.122_1"
"eeaccdd4",2020-07-22,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,-2,-4,1,1,1,4,2,2,1,4,0,2,-65.89,-71.76,-66.37,-62.5,3,"Brazil","Paraíba","Monte Horebe",-7.209655525,-38.5455017723235,4842,"BRA","BR",76,"BRL","2509602",NA,NA,"BRPB2509602",NA,"BRA.15.122_1"
"eeaccdd4",2020-07-23,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,-2,-4,1,1,1,4,2,2,1,4,0,2,-65.89,-71.76,-66.37,-62.5,3,"Brazil","Paraíba","Monte Horebe",-7.209655525,-38.5455017723235,4842,"BRA","BR",76,"BRL","2509602",NA,NA,"BRPB2509602",NA,"BRA.15.122_1"
"eeaccdd4",2020-07-24,5,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,-2,-4,1,1,1,4,2,2,1,4,0,2,-65.89,-71.76,-66.37,-62.5,3,"Brazil","Paraíba","Monte Horebe",-7.209655525,-38.5455017723235,4842,"BRA","BR",76,"BRL","2509602",NA,NA,"BRPB2509602",NA,"BRA.15.122_1"
"eeaccdd4",2020-07-25,8,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,-2,-4,1,1,1,4,2,2,1,4,0,2,-65.89,-71.76,-66.37,-62.5,3,"Brazil","Paraíba","Monte Horebe",-7.209655525,-38.5455017723235,4842,"BRA","BR",76,"BRL","2509602",NA,NA,"BRPB2509602",NA,"BRA.15.122_1"
"eeaccdd4",2020-07-26,11,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,-2,-4,1,1,1,4,2,2,1,4,0,2,-65.89,-71.76,-66.37,-62.5,3,"Brazil","Paraíba","Monte Horebe",-7.209655525,-38.5455017723235,4842,"BRA","BR",76,"BRL","2509602",NA,NA,"BRPB2509602",NA,"BRA.15.122_1"
"eeaccdd4",2020-07-27,14,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,-2,-4,1,1,1,4,2,2,1,4,0,2,-65.89,-71.76,-66.37,-62.5,3,"Brazil","Paraíba","Monte Horebe",-7.209655525,-38.5455017723235,4842,"BRA","BR",76,"BRL","2509602",NA,NA,"BRPB2509602",NA,"BRA.15.122_1"
"eeaccdd4",2020-07-28,11,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,-2,-4,1,1,1,4,2,2,1,4,0,2,-65.89,-71.76,-66.37,-62.5,3,"Brazil","Paraíba","Monte Horebe",-7.209655525,-38.5455017723235,4842,"BRA","BR",76,"BRL","2509602",NA,NA,"BRPB2509602",NA,"BRA.15.122_1"
