"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"5beb5535",2020-04-29,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,-2,2,4,2,0,0,4,0,0,-61.98,-85.19,-61.9,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-04-30,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,-2,2,4,2,0,0,4,0,0,-61.98,-85.19,-61.9,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-01,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,-2,2,4,2,0,0,4,0,0,-61.98,-85.19,-61.9,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-02,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,-2,2,4,2,0,0,4,0,0,-61.98,-85.19,-61.9,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-03,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,-2,2,4,2,0,0,4,0,0,-61.98,-85.19,-61.9,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-04,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,-2,2,4,2,0,0,4,0,0,-61.98,-85.19,-61.9,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-05,7,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,-2,2,4,2,0,0,4,0,0,-61.98,-85.19,-61.9,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-06,8,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,-2,2,4,2,2,0,4,0,0,-66.15,-85.19,-66.67,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-07,10,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,-3,2,4,2,2,0,4,0,1,-71.35,-90.74,-72.62,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-08,10,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,-3,2,4,2,2,0,4,0,1,-71.35,-90.74,-72.62,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-09,15,2,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,-3,2,4,2,2,0,4,0,1,-71.35,-90.74,-72.62,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-10,17,2,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,-3,2,4,2,2,0,4,0,1,-71.35,-90.74,-72.62,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-11,46,3,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,-3,2,4,2,2,0,4,0,1,-71.35,-90.74,-72.62,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-12,108,9,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,-3,2,4,2,2,0,4,0,1,-71.35,-90.74,-72.62,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-13,118,9,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,-3,2,4,2,2,0,4,0,1,-71.35,-90.74,-72.62,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-14,120,10,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,-3,2,4,2,2,0,4,0,1,-71.35,-90.74,-72.62,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-15,131,10,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,-3,2,4,2,2,0,4,0,1,-71.35,-90.74,-72.62,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-16,157,10,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,-3,2,4,2,2,0,4,0,1,-71.35,-90.74,-72.62,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-17,160,11,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,-3,2,4,2,2,0,4,0,1,-71.35,-90.74,-72.62,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-18,160,11,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,-3,2,4,2,2,0,4,0,1,-71.35,-90.74,-72.62,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-19,160,11,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,-3,2,4,2,2,0,4,0,1,-72.4,-92.59,-73.81,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-20,212,11,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,-3,2,4,2,2,0,4,0,1,-72.4,-92.59,-73.81,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-21,240,11,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,-3,2,4,2,2,0,4,0,1,-72.4,-92.59,-73.81,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-22,240,11,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,-3,2,4,2,2,0,4,0,1,-72.4,-92.59,-73.81,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-23,241,11,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,-3,2,4,2,2,0,4,0,1,-72.4,-92.59,-73.81,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-24,243,11,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,-3,2,4,2,2,0,4,0,1,-72.4,-92.59,-73.81,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-25,248,12,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,-2,2,4,2,2,0,4,0,1,-69.27,-87.04,-70.24,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-26,250,13,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,-2,2,4,2,2,0,4,0,1,-68.23,-85.19,-69.05,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-27,251,13,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,-2,2,4,2,2,0,4,0,1,-68.23,-85.19,-69.05,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-28,252,14,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,-2,2,4,2,2,0,4,0,1,-68.23,-85.19,-69.05,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
"5beb5535",2020-05-29,309,14,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,-2,2,4,2,2,0,4,0,1,-68.23,-85.19,-69.05,-62.5,3,"Brazil","Pará","Moju",-2.53721249,-49.0588769277477,83182,"BRA","BR",76,"BRL","1504703","ChIJi2_oqw1qvJIRTskkSaLw4VE",NA,"BRPA1504703",NA,"BRA.14.74_1"
