"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"e3d76f0c",2020-05-01,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,0,-61.2,-72.22,-61.01,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-02,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,0,-61.2,-72.22,-61.01,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-03,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,0,-61.2,-72.22,-61.01,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-04,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,0,-61.2,-72.22,-61.01,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-05,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,0,-61.2,-72.22,-61.01,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-06,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,0,-61.2,-72.22,-61.01,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-07,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-08,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-09,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-11,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-12,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-13,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-14,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-15,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-16,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-17,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-18,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-19,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-20,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-21,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-22,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-23,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-24,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-25,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-26,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-27,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
"e3d76f0c",2020-05-28,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,2,4,2,2,1,-4,0,1,-63.28,-72.22,-63.39,-62.5,3,"Brazil","Rio Grande do Norte","Taboleiro Grande",-5.93599248,-38.0775455573707,2586,"BRA","BR",76,"BRL","2413805",NA,NA,"BRRN2413805",NA,"BRA.20.152_1"
