"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"41103fcd",2020-08-01,11,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,-4,0,2,-63.8,-69.44,-67.56,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-02,13,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,-4,0,2,-63.8,-69.44,-67.56,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-03,13,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-04,17,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-05,18,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-06,20,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-07,20,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-08,21,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-09,21,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-10,21,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-11,21,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-12,22,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-13,22,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-14,22,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-15,22,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-16,22,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-17,22,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-18,22,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-19,23,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-20,23,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-21,23,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-22,23,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-23,23,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-24,23,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-25,23,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-26,23,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-27,23,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-28,23,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-29,23,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-30,23,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-08-31,23,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-09-01,23,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-09-02,24,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
"41103fcd",2020-09-03,24,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Toropi",-29.475667,-54.2901886406216,2772,"BRA","BR",76,"BRL","4321493",NA,NA,"BRRS4321493",NA,"BRA.21.421_1"
