"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"472efafe",2020-04-16,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,-2,4,2,1,1,2,0,0,-62.5,-82.41,-62.5,-62.5,3,"Brazil","Rondônia","Buritis",-10.08911562,-63.9117905660715,40356,"BRA","BR",76,"BRL","1100452","ChIJGxtLtNkJzZMRhUr63MdGiS0",NA,"BRRO1100452",NA,"BRA.22.6_1"
"472efafe",2020-04-17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,-2,4,2,1,1,2,0,0,-62.5,-82.41,-62.5,-62.5,3,"Brazil","Rondônia","Buritis",-10.08911562,-63.9117905660715,40356,"BRA","BR",76,"BRL","1100452","ChIJGxtLtNkJzZMRhUr63MdGiS0",NA,"BRRO1100452",NA,"BRA.22.6_1"
"472efafe",2020-04-18,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,-2,4,2,1,1,2,0,0,-62.5,-82.41,-62.5,-62.5,3,"Brazil","Rondônia","Buritis",-10.08911562,-63.9117905660715,40356,"BRA","BR",76,"BRL","1100452","ChIJGxtLtNkJzZMRhUr63MdGiS0",NA,"BRRO1100452",NA,"BRA.22.6_1"
"472efafe",2020-04-19,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,-2,4,2,1,1,2,0,0,-62.5,-82.41,-62.5,-62.5,3,"Brazil","Rondônia","Buritis",-10.08911562,-63.9117905660715,40356,"BRA","BR",76,"BRL","1100452","ChIJGxtLtNkJzZMRhUr63MdGiS0",NA,"BRRO1100452",NA,"BRA.22.6_1"
"472efafe",2020-04-20,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,-2,4,2,1,1,2,0,0,-62.5,-82.41,-62.5,-62.5,3,"Brazil","Rondônia","Buritis",-10.08911562,-63.9117905660715,40356,"BRA","BR",76,"BRL","1100452","ChIJGxtLtNkJzZMRhUr63MdGiS0",NA,"BRRO1100452",NA,"BRA.22.6_1"
"472efafe",2020-04-21,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,-2,4,2,1,1,2,0,0,-62.5,-82.41,-62.5,-62.5,3,"Brazil","Rondônia","Buritis",-10.08911562,-63.9117905660715,40356,"BRA","BR",76,"BRL","1100452","ChIJGxtLtNkJzZMRhUr63MdGiS0",NA,"BRRO1100452",NA,"BRA.22.6_1"
"472efafe",2020-04-22,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,-2,4,2,1,1,2,0,0,-65.62,-82.41,-62.5,-87.5,3,"Brazil","Rondônia","Buritis",-10.08911562,-63.9117905660715,40356,"BRA","BR",76,"BRL","1100452","ChIJGxtLtNkJzZMRhUr63MdGiS0",NA,"BRRO1100452",NA,"BRA.22.6_1"
"472efafe",2020-04-23,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,-2,4,2,1,1,2,0,0,-65.62,-82.41,-62.5,-87.5,3,"Brazil","Rondônia","Buritis",-10.08911562,-63.9117905660715,40356,"BRA","BR",76,"BRL","1100452","ChIJGxtLtNkJzZMRhUr63MdGiS0",NA,"BRRO1100452",NA,"BRA.22.6_1"
"472efafe",2020-04-24,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,-2,4,2,1,1,2,0,0,-65.62,-82.41,-62.5,-87.5,3,"Brazil","Rondônia","Buritis",-10.08911562,-63.9117905660715,40356,"BRA","BR",76,"BRL","1100452","ChIJGxtLtNkJzZMRhUr63MdGiS0",NA,"BRRO1100452",NA,"BRA.22.6_1"
"472efafe",2020-04-25,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,-2,4,2,1,1,2,0,0,-65.62,-82.41,-62.5,-87.5,3,"Brazil","Rondônia","Buritis",-10.08911562,-63.9117905660715,40356,"BRA","BR",76,"BRL","1100452","ChIJGxtLtNkJzZMRhUr63MdGiS0",NA,"BRRO1100452",NA,"BRA.22.6_1"
