"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"f6d47914",2020-05-23,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Ribeirão Bonito",-22.03839016,-48.2095533273065,13299,"BRA","BR",76,"BRL","3542909","ChIJMd_fj8GFuJQRlY2sGz-S5bE",NA,"BRSP3542909",NA,"BRA.25.482_1"
"f6d47914",2020-05-24,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Ribeirão Bonito",-22.03839016,-48.2095533273065,13299,"BRA","BR",76,"BRL","3542909","ChIJMd_fj8GFuJQRlY2sGz-S5bE",NA,"BRSP3542909",NA,"BRA.25.482_1"
"f6d47914",2020-05-25,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Ribeirão Bonito",-22.03839016,-48.2095533273065,13299,"BRA","BR",76,"BRL","3542909","ChIJMd_fj8GFuJQRlY2sGz-S5bE",NA,"BRSP3542909",NA,"BRA.25.482_1"
"f6d47914",2020-05-26,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Ribeirão Bonito",-22.03839016,-48.2095533273065,13299,"BRA","BR",76,"BRL","3542909","ChIJMd_fj8GFuJQRlY2sGz-S5bE",NA,"BRSP3542909",NA,"BRA.25.482_1"
"f6d47914",2020-05-27,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Ribeirão Bonito",-22.03839016,-48.2095533273065,13299,"BRA","BR",76,"BRL","3542909","ChIJMd_fj8GFuJQRlY2sGz-S5bE",NA,"BRSP3542909",NA,"BRA.25.482_1"
"f6d47914",2020-05-28,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Ribeirão Bonito",-22.03839016,-48.2095533273065,13299,"BRA","BR",76,"BRL","3542909","ChIJMd_fj8GFuJQRlY2sGz-S5bE",NA,"BRSP3542909",NA,"BRA.25.482_1"
"f6d47914",2020-05-29,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Ribeirão Bonito",-22.03839016,-48.2095533273065,13299,"BRA","BR",76,"BRL","3542909","ChIJMd_fj8GFuJQRlY2sGz-S5bE",NA,"BRSP3542909",NA,"BRA.25.482_1"
"f6d47914",2020-05-30,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Ribeirão Bonito",-22.03839016,-48.2095533273065,13299,"BRA","BR",76,"BRL","3542909","ChIJMd_fj8GFuJQRlY2sGz-S5bE",NA,"BRSP3542909",NA,"BRA.25.482_1"
"f6d47914",2020-05-31,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Ribeirão Bonito",-22.03839016,-48.2095533273065,13299,"BRA","BR",76,"BRL","3542909","ChIJMd_fj8GFuJQRlY2sGz-S5bE",NA,"BRSP3542909",NA,"BRA.25.482_1"
"f6d47914",2020-06-01,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,0,4,2,2,1,4,0,1,-62.76,-69.91,-62.8,-62.5,3,"Brazil","São Paulo","Ribeirão Bonito",-22.03839016,-48.2095533273065,13299,"BRA","BR",76,"BRL","3542909","ChIJMd_fj8GFuJQRlY2sGz-S5bE",NA,"BRSP3542909",NA,"BRA.25.482_1"
"f6d47914",2020-06-02,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Ribeirão Bonito",-22.03839016,-48.2095533273065,13299,"BRA","BR",76,"BRL","3542909","ChIJMd_fj8GFuJQRlY2sGz-S5bE",NA,"BRSP3542909",NA,"BRA.25.482_1"
"f6d47914",2020-06-03,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Ribeirão Bonito",-22.03839016,-48.2095533273065,13299,"BRA","BR",76,"BRL","3542909","ChIJMd_fj8GFuJQRlY2sGz-S5bE",NA,"BRSP3542909",NA,"BRA.25.482_1"
